in	['toward', 'within', 'into', 'inside']
▁children	['▁offspring', '▁youngsters', '▁kids']
match	['equal', 'peer', 'mate', 'equivalent']
wi	['Syn', 'Input:', '100']
▁almost	['▁approxim', '▁nearly', '▁close to']
▁sig	['▁sign', '▁signature', '▁autograph', '▁sign manual']
light	['brightness', 'illumination', 'lum']
▁Red	['▁Scarlet', '▁Crimson', '▁Ruby']
▁suggest	['▁advise', '▁adv', '▁recommend', '▁propose']
New	['novel', 'fresh', 'recent', 'modern']
▁figure	['▁number', '▁shape', '▁body', '▁form', '▁formula']
mt	['mount\n\nInput: mt', 'mountain']
▁catch	['▁snare', '▁capture', '▁net', '▁ensnare']
default	['neglect', 'omission', 'failure', 'nonper']
▁tele	['▁telegram', '▁telegraph', '▁telephone', '▁television']
▁matter	['▁thing', '▁stuff', '▁substance', '▁material']
cast	['fling', 'toss', 'hurl', 'throw']
▁Rich	['▁prosper', '▁affluent', '▁wealthy']
▁handle	['▁grip', '▁grasp', '▁hold', '▁clutch']
Create	['Make', 'Build', 'Construct', 'Produce']
▁exam	['▁test', '▁assessment', '▁quiz', '▁evalu']
idos	['Syn', 'Input:', '123']
append	['add', 'attach', 'tack', 'tack on']
▁Array	['▁Synonyms', '▁Input:', '▁C++']
rive	['rend', 'split', 'cleave', 'tear']
▁club	['▁society', '▁association', '▁fellow', '▁organization']
▁Gi	['▁Gigabyte', '▁1', '▁Input:']
▁Name	['▁denomination', '▁designation', '▁appellation']
Column	['post', 'sh', 'pillar']
▁City	['▁megalopolis', '▁urban', '▁metropolis']
▁classes	['▁courses', '▁lessons', '▁lectures', '▁sessions']
▁adding	['▁summing up', '▁summing', '▁sum']
▁fail	['▁flunk', '▁flop', '▁flub', '▁b']
xx	['Syn', 'Input:', '123']
ago	['past', 'previously', 'formerly', 'earlier']
▁properties	['▁features', '▁attributes', '▁characteristics', '▁qualities']
vas	['vessel']
▁asked	['▁questioned', '▁interrogated', '▁inquired']
▁tab	['▁tablet', '▁pill', '▁lozenge']
Source	['spring', 'root', 'origin', 'f', 'cause']
▁mal	['▁immoral', '▁wicked', '▁bad', '▁evil']
stract	['12345', 'Input:']
▁note	['▁memorandum', '▁memo', '▁reminder']
▁setting	['▁situation', '▁scene', '▁circumstance']
▁saw	['▁witnessed', '▁beheld', '▁obser']
HER	['SH', 'SHE']
▁Out	['▁Ex', '▁Exterior', '▁Outside']
▁items	['▁pieces', '▁things', '▁objects', '▁articles']
▁sin	['▁wrong', '▁vice', '▁evil', '▁crime']
▁feel	['▁experience', '▁sense', '▁perceive']
▁oder	['▁scent', '▁fra', '▁aroma', '▁smell']
▁mode	['▁manner', '▁way', '▁fashion', '▁method', '▁style']
▁Na	['▁100', '▁Input:', '▁sodium']
mes	['Syn', 'Input:', '100']
framework	['structure', 'system', 'outline', 'skeleton']
▁auto	['▁vehicle', '▁autom', '▁motor', '▁car']
▁template	['▁design', '▁form', '▁pattern', '▁mold', '▁model']
▁mess	['▁disorder', '▁confusion', '▁chaos', '▁dis']
▁related	['▁affili', '▁connected', '▁associated', '▁linked']
oken	['Syn', 'Input:', '100']
search	['look', 'explore', 'seek', 'hunt']
ami	['friendly', 'cordial', 'amicable']
▁wait	['▁stay', '▁delay', '▁linger']
▁low	['▁downcast', '▁downhearted', '▁depressed']
▁Mark	['▁Input:', '▁100']
▁ill	['▁unhealthy', '▁unwell', '▁sick']
war	['fight', 'combat', 'battle', 'conflict']
▁sal	['▁salt', '▁hal', '▁sodium chloride']
▁passed	['▁el', '▁gone', '▁expired', '▁departed']
▁solve	['▁settle', '▁answer', '▁work out', '▁resolve']
▁member	['▁portion', '▁component', '▁segment', '▁f', '▁part']
▁connect	['▁attach', '▁t', '▁fasten', '▁join', '▁link']
ips	['Syn', 'Input:', '100']
▁round	['▁spherical', '▁orb', '▁globular', '▁circular']
▁London	['▁Syn', '▁Input:', '▁100']
FA	['F', 'FATHERS', 'FATHER']
▁received	['▁gotten', '▁got']
reet	['Syn', 'Input:', '100']
▁Log	['▁diary', '▁record', '▁register', '▁journal']
▁School	['▁univers', '▁institute', '▁academy', '▁college']
ango	['a', 'Input:', 'Synonyms:']
▁These	['▁Them', '▁Those', '▁They']
lad	['boy', 'youngster', 'you', 'youth']
▁define	['▁explain', '▁eluc', '▁describe', '▁clarify']
sign	['indication', 'mark', 'symbol', 'token']
figure	['number', 'shape', 'body', 'form', 'formula']
▁View	['▁scene', '▁aspect', '▁sight', '▁vision', '▁pro']
number	['numeral', 'total', 'figure', 'sum', 'amount']
▁din	['▁clamor', '▁racket', '▁noise', '▁roar']
false	['deceptive', 'untrue', 'fake']
▁HTML	['▁Synonyms', '▁Input:', '▁C++']
▁Mo	['▁Missouri', '▁Input:', '▁100']
▁strong	['▁sturdy', '▁powerful', '▁mighty']
▁thus	['▁therefore', '▁hence', '▁accordingly', '▁consequently']
▁cause	['▁basis', '▁motive', '▁reason', '▁ground']
Number	['numeral', 'total', 'figure', 'sum', 'amount']
▁images	['▁pictorial representations', '▁pictures', '▁photos']
▁sample	['▁specimen', '▁example', '▁instance', '▁illustration']
like	['love', 'adore', 'enjoy', 'cherish']
div	['division']
▁front	['▁foremost', '▁fore', '▁leading', '▁forward']
▁missing	['▁lost', '▁gone', '▁absent']
aria	['melody', 'song', 'air', 'tune']
DI	['DEE', 'DIE', 'DE']
filter	['sifter', 'strainer', 'sieve']
▁Jean	['▁Syn', '▁Input:', '▁100']
▁taken	['▁seized', '▁captured', '▁apprehended', '▁arr']
▁Of	['▁Away from', '▁From', '▁Out of', '▁A']
▁err	['▁mistake', '▁miscalculate', '▁misjudge']
From	['Since', 'As from', 'As', 'As of']
Default	['standard', 'regular', 'normal', 'ordinary', 'typical']
▁General	['▁universal', '▁common', '▁widespread']
▁grand	['▁impressive', '▁magnificent', '▁splendid']
Reg	['standard', 'regular', 'normal', 'ordinary', 'typical']
Handler	['Input:', 'Synonyms:', 'C']
anger	['ire', 'wrath', 'rage', 'fury']
▁expression	['▁communication', '▁declaration', '▁articulation']
▁switch	['▁alter', '▁exchange', '▁swap', '▁substitute', '▁change']
▁vector	['▁indicator', '▁pointer', '▁guide', '▁director']
leased	['hired', 'chartered', 'rented', 'let']
▁cover	['▁mask', '▁conceal', '▁hide', '▁shroud']
ako	['Syn', 'Input:', '123']
Cell	['jail', 'penitentiary', 'prison']
lac	['lake', 'lake\n\nInput: 1']
next	['following', 'subsequent', 'succeeding']
▁International	['▁worldwide', '▁universal', '▁global', '▁cosm']
▁black	['▁ebony', '▁inky', '▁dark', '▁jet']
▁selected	['▁picked', '▁chosen', '▁designated', '▁elected']
root	['radicel', 'radicle', 'radix']
▁Life	['▁lif', '▁being', '▁existence', '▁living']
▁insert	['▁impress', '▁imbed', '▁imprint', '▁embed']
▁matrix	['▁chart', '▁grid', '▁diagram', '▁array', '▁table']
▁pel	['▁hide', '▁pell', '▁pelt', '▁skin']
Override	['Overthrow', 'Over', 'Overrule', 'Overturn']
▁former	['▁prior', '▁earlier', '▁previous', '▁preced']
▁Film	['▁Motion Picture', '▁Flick', '▁Movie', '▁Picture']
▁North	['▁northwards', '▁northward', '▁northern']
client	['patron', 'buyer', 'consumer', 'customer']
▁night	['▁twilight', '▁d', '▁evening', '▁darkness']
rho	['p']
▁express	['▁convey', '▁transmit', '▁communicate', '▁impart']
▁third	['▁3rd', '▁tercet', '▁terc']
▁major	['▁cons', '▁important', '▁notable', '▁significant']
▁grad	['▁alumnus', '▁alumna', '▁graduate']
owe	['be in debt', 'be indebted']
▁believe	['▁consider', '▁deem', '▁think', '▁hold']
▁status	['▁position', '▁state', '▁situation', '▁condition']
▁Object	['▁entity', '▁thing', '▁objective', '▁article', '▁item']
▁Di	['▁Diana', '▁Diana Frances']
▁Open	['▁unbar', '▁unclose', '▁un', '▁unlock']
lar	['larder beetle', 'larder']
adding	['mer', 'uniting', 'combining', 'joining']
▁feature	['▁trait', '▁attribute', '▁characteristic', '▁property', '▁quality']
▁Are	['▁Been', '▁Were', '▁Be', '▁Being']
▁Internet	['▁net\n\nInput: C', '▁net', '▁web']
▁started	['▁commenced', '▁began', '▁initiated']
▁early	['▁precocious', '▁premature']
▁began	['▁commenced', '▁started', '▁initiated']
python	['boa constrictor', 'boa']
asp	['adder', 'snake', 'viper']
▁music	['▁harmony', '▁melody', '▁song', '▁tune']
▁dig	['▁unear', '▁exhume', '▁excavate']
▁David	['▁Syn', '▁Input:', '▁100']
▁website	['▁site', '▁webpage']
▁controller	['▁regulator', '▁director', '▁governor']
context	['state', 'scenario', 'condition', 'circumstance']
product	['merchandise', 'good', 'commodity']
▁Az	['▁AZ', '▁Input:', '▁100']
▁Date	['▁Engagement', '▁Meeting', '▁Appointment']
▁browser	['▁surfer', '▁explorer', '▁v', '▁navigator']
which	['one', 'that', 'what']
RA	['RADIOACTIVE', 'RADIOACT']
quare	['Syn', 'Input:', '100']
▁Russ	['▁100', '▁Input:', '▁Russian']
tau	['tauon', 'tau-lepton']
▁week	['▁hebdomad', '▁sevener', '▁se']
▁oct	['▁100', '▁Input:', '▁october']
▁town	['▁municip', '▁city', '▁metropolis', '▁borough']
▁models	['▁man', '▁dummies', '▁mannequins']
onym	['Syn', 'Input:', '100']
Param	['Syn', 'Input:', '100']
▁Met	['▁Encountered', '▁Came Across', '▁C']
▁device	['▁gadget', '▁appliance', '▁contraption']
▁debug	['▁debugged', '▁Synonyms', '▁Input:']
using	['employing', 'exp', 'applying', 'utilizing']
▁Miss	['▁Mrs.', '▁Ms', '▁Ms.']
posed	['show', 'exhibited', 'displayed', 'presented']
▁Robert	['▁Rob', '▁Robbie', '▁Bob', '▁Robby']
▁Oct	['▁10', '▁Syn', '▁October', '▁Input:']
lop	['she', 'clip', 'cut', 'snip', 'trim']
jar	['container', 'receptacle', 'vessel', 'pot']
▁aver	['▁declare', '▁allege', '▁assert', '▁maint']
▁habit	['▁usage', '▁custom', '▁practice', '▁tradition']
Start	['Initiate', 'Launch', 'Commence', 'Begin']
▁pattern	['▁design', '▁shape', '▁figure', '▁form', '▁style']
▁bi	['▁bis', '▁bisexual', '▁bisexual person']
▁sens	['▁feeling', '▁perception', '▁aw', '▁sensation']
▁avoid	['▁shun', '▁dodge', '▁evade']
example	['sample', 'specimen', 'illustration', 'instance']
Label	['tra', 'tag', 'mark', 'brand', 'sticker']
boot	['footwear', 'shoe', 'slipper']
▁March	['▁Synonyms', '▁Input:']
▁easy	['▁uncomplicated', '▁simple', '▁straightforward']
Group	['crowd', 'gang', 'band', 'bunch']
▁father	['▁papa', '▁dad', '▁daddy', '▁pa']
▁updated	['▁revised', '▁modified', '▁am', '▁altered']
▁III	['▁3', '▁third\n\nInput:', '▁three']
omega	['Ω']
▁Dim	['▁dull', '▁g', '▁dark', '▁dusky']
▁white	['▁alabaster', '▁albino', '▁snowy']
▁national	['▁federal', '▁state', '▁public', '▁governmental']
▁air	['▁atmosphere', '▁wind', '▁breeze', '▁sky']
▁password	['▁passcode', '▁passphrase', '▁passkey']
▁big	['▁mass', '▁huge', '▁enormous', '▁large']
▁Use	['▁Employ', '▁Apply', '▁Utilize', '▁Exp']
call	['phone', 'ring', 'dial', 'telephone']
▁extra	['▁additional', '▁supplementary', '▁further', '▁added']
We	['Us', 'Our', 'Ourselves']
▁hold	['▁clen', '▁grip', '▁grasp', '▁clutch']
Control	['authority', 'power', 'command', 'mastery']
▁Park	['▁recreation', '▁playground', '▁garden', '▁green']
▁center	['▁midst', '▁middle', '▁midsection', '▁midpoint']
▁across	['▁past', '▁over', '▁beyond', '▁through']
▁song	['▁melody', '▁ditty', '▁tune']
▁problems	['▁issues', '▁difficulties', '▁troubles']
▁Error	['▁fault', '▁mistake', '▁miscalculation', '▁blunder']
format	['design', 'structure', 'layout', 'arrangement']
▁Acc	['▁Accru', '▁Accumulation', '▁Accretion']
▁six	['▁6', '▁sixth', '▁half a dozen']
▁db	['▁database', '▁data base\n\nInput: 1']
▁Cast	['▁Toss', '▁Fl', '▁Throw', '▁Hurl']
project	['enterprise', 'venture', 'undertaking', 'sch']
▁vert	['▁jade', '▁emerald', '▁kelly', '▁green']
▁header	['▁sub', '▁heading', '▁title', '▁caption', '▁headline']
▁stream	['▁rivulet', '▁creek', '▁brook']
ids	['identification number', 'identification', 'identifications', 'ident']
▁tor	['▁crag', '▁peak', '▁rock', '▁hill']
▁gave	['▁del', '▁offered', '▁presented', '▁provided']
▁player	['▁participant', '▁performer', '▁cont', '▁actor']
Property	['land', 'realty', 'holdings', 'estate']
▁someone	['▁anybody', '▁somebody', '▁anyone']
rote	['routine', 'mechanical', 'unthinking']
▁video	['▁flick', '▁movie', '▁picture', '▁film']
▁exists	['▁survives', '▁remains', '▁end', '▁lives']
▁complete	['▁conclude', '▁terminate', '▁end', '▁finish']
▁session	['▁meeting', '▁conference', '▁congress', '▁assembly']
▁constant	['▁unchanging', '▁steady', '▁fixed']
▁pack	['▁parcel', '▁bundle', '▁b', '▁package']
rome	['capital of', 'italy', 'italian capital']
Application	['program', 'system', 'software package', 'software', 'app']
▁yes	['▁y', '▁yea', '▁aye', '▁affirmative']
▁elle	['▁her\n\nInput: 10', '▁she']
▁email	['▁electronic mail', '▁e-mail', '▁message']
orf	['Syn', 'Input:', '100']
case	['occurrence', 'example', 'instance', 'illustration']
▁pointer	['▁indicator', '▁marker']
▁regard	['▁esteem', '▁admiration', '▁de', '▁respect']
sen	['aged', 'elderly', 'elder', 'senior']
status	['position', 'state', 'situation', 'condition']
▁mes	['▁months', '▁Input:', '▁100']
▁Bas	['▁Syn', '▁Input:', '▁100']
develop	['evolve', 'mature', 'grow', 'adv']
▁force	['▁might', '▁power', '▁strength', '▁energy']
▁characters	['▁figures', '▁signs', '▁letters', '▁symbols']
▁cross	['▁annoyed', '▁angry', '▁ir', '▁irritated']
▁death	['▁expiry', '▁demise', '▁decease']
▁takes	['▁seizes', '▁snatches', '▁grabs']
Thread	['cord', 'twine', 'yarn', 'string']
▁details	['▁minutiae', '▁specifics', '▁particulars']
tait	['Syn', 'Input:', '100']
output	['yield', 'result', 'product', 'outcome']
message	['communication', 'announcement', 'dispatch', 'bulletin']
▁British	['▁Britisher', '▁English']
ville	['borough', 'city', 'metropolis', 'town']
▁Div	['▁division']
▁User	['▁buyer', '▁consumer', '▁customer', '▁client']
cm	['centimeter', 'centimetre\n\nInput:']
column	['post', 'stump', 'shaft', 'pillar']
▁Post	['▁missive', '▁mail', '▁epistle', '▁letter']
Ab	['A', 'Input:', 'Synonyms:']
▁perfect	['▁faultless', '▁flawless', '▁impecc']
vision	['insight', 'eyesight', 'sight', 'for']
active	['energetic', 'lively', 'vigorous']
▁machine	['▁engine', '▁appliance', '▁device', '▁contraption']
▁held	['▁clasped', '▁grasped', '▁clutched']
born	['delivered', 'begotten', 'birthed']
▁past	['▁prior', '▁bygone', '▁previous', '▁ear']
▁regular	['▁common', '▁standard', '▁normal', '▁ordinary', '▁typical']
▁provided	['▁gr', '▁furnished', '▁supplied', '▁gave']
▁gets	['▁acquires', '▁obtains', '▁receives']
fin	['fishtail', 'tail fin', 'tail']
▁become	['▁turn', '▁get', '▁grow', '▁go', '▁develop']
▁history	['▁past', '▁story', '▁ann', '▁record', '▁chronicle']
▁Sol	['▁sun', '▁sunshine', '▁day', '▁daystar']
▁Rad	['▁groovy', '▁neat', '▁hip', '▁cool']
▁terms	['▁provisions', '▁conditions', '▁stipulations']
▁events	['▁incidents', '▁happenings', '▁occurrences']
▁soft	['▁mild', '▁tender', '▁delicate', '▁gentle']
links	['associations', 'b', 'relationships', 'connections']
▁hope	['▁wish', '▁expectation', '▁aspiration', '▁des']
▁subject	['▁issue', '▁topic', '▁question', '▁matter', '▁theme']
▁creating	['▁making', '▁generating', '▁producing', '▁forming']
▁flow	['▁flowing', '▁course', '▁run', '▁current', '▁stream']
▁assert	['▁affirm', '▁declare', '▁maintain']
▁Frank	['▁Syn', '▁Input:', '▁100']
sa	['south america', 'south africa', 's']
▁distribution	['▁cir', '▁dispensation', '▁dissemination']
cu	['school', 'university', 'institution', 'college']
band	['combo', 'orchestra', 'group', 'ensemble']
▁job	['▁employment', '▁post', '▁position', '▁occupation', '▁work']
iner	['Syn', 'Input:', '100']
TO	['TOWARD', 'INTO', 'TOWARDS']
▁extends	['▁prolongs', '▁stretches', '▁lengthens']
▁Gra	['▁Syn', '▁Input:', '▁100']
display	['show', 'expose', 'present', 'exhibit']
source	['root', 'fountain', 'beginning', 'origin']
▁quick	['▁fast', '▁speedy', '▁swift', '▁rapid']
▁wonder	['▁miracle', '▁phenomenon', '▁marvel']
Instance	['example', 'spec', 'case', 'sample', 'illustration']
▁company	['▁firm', '▁enter', '▁business', '▁corporation']
▁separate	['▁disunited', '▁disjointed', '▁disconnected']
HERE	['THIS PLACE', 'THIS SPOT']
▁writing	['▁scribbling', '▁penning', '▁scribing']
▁James	['▁Jimmy', '▁Jamie', '▁Jim']
▁DE	['▁FROM', '▁OF', '▁OUT OF', '▁FROM THE']
process	['course', 'pract', 'system', 'procedure', 'method']
▁wy	['▁Syn', '▁Input:', '▁100']
▁anyone	['▁anybody', '▁someone']
▁Up	['▁Upwardly', '▁Upwards', '▁Upward']
▁definition	['▁explanation', '▁interpret', '▁clarification', '▁meaning']
element	['ingredient', 'factor', 'component', 'part']
cap	['bonnet', 'beanie', 'hat', 'beret']
pat	['th', 'tap', 'slap', 'thump']
▁Bra	['▁brassiere', '▁brass']
▁according	['▁as', '▁in accordance with', '▁in agreement with']
▁pie	['▁past', '▁tart', '▁quiche', '▁flan']
▁stop	['▁cease', '▁finish', '▁end', '▁halt']
patch	['repair', 'restore', 'mend', 'fix']
End	['Finish', 'Terminate', 'Complete', 'Conclude']
▁age	['▁era', '▁period', '▁year', '▁time', '▁epoch']
▁pretty	['▁lovely', '▁attractive', '▁ple', '▁beautiful']
▁High	['▁tall', '▁t', '▁elevated', '▁lofty']
rest	['respite', 'sleep', 'repose', 'relaxation']
under	['lower', 'beneath', 'below']
center	['midst', 'middle', 'midsection', 'midpoint']
▁interface	['▁interconnection', '▁interaction', '▁inter']
▁whose	['▁of which the', '▁of whom', '▁of which']
amen	['so be it', 'verily', 'truly']
Filter	['pur', 'strainer', 'separator', 'sieve']
▁station	['▁stop', '▁depot', '▁terminal', '▁halt']
Page	['sheet', 'folio leaf', 'leaf', 'folio']
▁arm	['▁appendage', '▁member', '▁extrem', '▁limb']
▁eyes	['▁optics', '▁orbits', '▁peepers']
win	['prevail', 'succeed', 'conquer', 'triumph']
▁Google	['▁situation', '▁Input:', '▁Synonyms:']
▁Stud	['▁Stallion', '▁Gelding', '▁Steed']
▁stack	['▁mound', '▁heap', '▁pile', '▁hill']
▁SELECT	['▁OPT', '▁PICK', '▁CHOOSE']
▁pair	['▁duo', '▁bra', '▁twosome', '▁couple']
Response	['reaction', 'answer', 'reply', 'rejo']
▁Fig	['▁Ficus', '▁Mulberry', '▁Banana']
grad	['alumnus', 'alumna', 'graduate']
▁documentation	['▁paperwork']
▁cant	['▁jargon', '▁slang', '▁lingo']
▁learn	['▁absorb', '▁study', '▁acquire', '▁master']
▁pal	['▁chum', '▁friend', '▁mate', '▁buddy']
package	['parcel', 'bundle', 'carton', 'box']
▁Berlin	['▁Syn', '▁Input:', '▁100']
reich	['pro', 'rich', 'wealthy', 'affluent']
▁region	['▁section', '▁area', '▁se', '▁district', '▁zone']
▁friend	['▁companion', '▁chum', '▁pal', '▁buddy']
▁George	['▁Georgi', '▁Georgy', '▁Georgie']
Factory	['plant', 'manuf', 'manufactory', 'mill']
▁County	['▁district', '▁province', '▁region', '▁shire']
▁installed	['▁set up', '▁put in']
▁wanted	['▁desired', '▁craved', '▁sought', '▁covet']
▁Python	['▁Synonyms', '▁Input:', '▁C++']
▁included	['▁enclosed', '▁comprised', '▁contained']
▁altern	['▁alternative']
▁border	['▁margin', '▁edge', '▁boundary', '▁rim', '▁perimeter']
▁download	['▁upload', '▁transfer']
just	['unbi', 'fair', 'impartial', 'equitable']
▁members	['▁associates', '▁colleagues', '▁comrades']
child	['infant', 'youngster', 'kid', 'b']
▁pay	['▁compensate', '▁remunerate', '▁reward']
▁cer	['▁Syn', '▁Input:', '▁100']
▁looked	['▁gazed', '▁peered', '▁stared']
▁correctly	['▁exactly', '▁precisely', '▁accurately']
▁esp	['▁telepathy', '▁extrasensory perception']
▁questions	['▁queries', '▁inquiries', '▁interrogations']
mal	['immoral', 'wicked', 'bad', 'evil']
▁Band	['▁combo', '▁orchestra', '▁group', '▁ensemble']
Base	['groundwork', 'foundation', 'basis', 'fundament']
▁ris	['▁Syn', '▁Input:', '▁100']
▁fort	['▁strong', '▁fortress', '▁citadel', '▁castle']
▁Id	['▁identification number', '▁identification', '▁identification card']
▁various	['▁diverse', '▁different', '▁varied', '▁assorted']
▁League	['▁federation', '▁association', '▁alliance', '▁union']
▁Hand	['▁Claw', '▁Fist', '▁M', '▁Paw']
▁Type	['▁class', '▁category', '▁kind', '▁variety', '▁sort']
▁Fe	['▁Iron', '▁Input:', '▁100']
▁fast	['▁rapid', '▁quick', '▁speedy', '▁swift']
▁except	['▁dis', '▁leave out', '▁omit', '▁exclude']
▁environment	['▁circumstances', '▁setting', '▁surroundings']
▁necessary	['▁required', '▁essential', '▁compulsory', '▁needed']
target	['object', 'objective', 'aim', 'mark', 'goal']
▁reading	['▁perusal', '▁inspection', '▁study']
home	['abode', 'dwell', 'residence', 'house']
▁equal	['▁same', '▁alike', '▁identical', '▁equivalent']
▁difficult	['▁challenging', '▁tough', '▁tr', '▁hard']
▁unit	['▁single', '▁entity', '▁single thing', '▁whole', '▁one']
▁replace	['▁trade', '▁exchange', '▁swap', '▁substitute', '▁inter']
▁heart	['▁spirit', '▁mind', '▁brain', '▁soul']
▁talk	['▁chat', '▁converse', '▁speak', '▁discuss']
AM	['ante merid', 'morning', 'a.m.']
▁Person	['▁human being', '▁individual', '▁human body', '▁human']
▁human	['▁man', '▁homo', '▁homo sapiens']
known	['familiar', 'recognized', 'acknow', 'identified']
system	['arrangement', 'organization', 'structure', 'framework', 'order']
selves	['themselves\n\nInput:', 'themselves']
▁building	['▁structure', '▁edifice', '▁fabric', '▁construction']
import	['importance', 'importation', 'importing']
▁delete	['▁eliminate', '▁remove', '▁erase', '▁ex']
aire	['climate', 'atmosphere', 'ambience', 'air']
mary	['maria', 'marie', 'mariam']
▁fund	['▁endow', '▁subsidize', '▁finance']
sin	['wrong', 'vice', 'evil', 'crime']
▁lower	['▁degrade', '▁de', '▁depress', '▁debase']
▁zero	['▁zilch', '▁nada']
▁sec	['▁moment', '▁jiff', '▁instant', '▁second']
Point	['extrem', 'tip', 'vertex', 'apex']
▁failed	['▁unfortun', '▁unlucky', '▁unsuccessful']
cup	['goblet', 'mug', 'tankard']
▁slow	['▁sluggish', '▁letharg', '▁dull']
▁nation	['▁king', '▁realm', '▁state', '▁land', '▁country']
▁info	['▁news\n\nInput: ant\nSyn', '▁information']
▁Public	['▁common', '▁univers', '▁open', '▁popular', '▁general']
▁sold	['▁bartered', '▁sw', '▁traded', '▁exchanged']
▁Rem	['▁Syn', '▁Input:', '▁100']
▁Work	['▁labor', '▁toil', '▁drudgery']
▁assume	['▁presume', '▁take for granted', '▁suppose']
lands	['territories', 'states', 'countries', 'nations']
▁amount	['▁extent', '▁total', '▁measure', '▁sum', '▁quantity']
▁Press	['▁compress', '▁squeeze', '▁crush']
▁maxim	[]
▁Champion	['▁winner', '▁conqueror', '▁victor']
library	['bookrack', 'bookshelf', 'bookcase']
▁social	['▁collective', '▁communal', '▁comm', '▁societal']
LI	['LONG ISLAND', 'LONG ISL']
Delta	['Syn', 'Input:', '100']
email	['electronic mail', 'e-mail', 'message']
oni	['ogre', 'demon', 'fiend', 'devil']
▁alt	['▁tall', '▁lofty', '▁high', '▁elev']
▁mentioned	['▁all', '▁cited', '▁referred', '▁quoted']
▁currently	['▁at the moment', '▁at present', '▁now', '▁presently']
vare	['Syn', 'Input:', '100']
▁configuration	['▁structure', '▁setup', '▁construction', '▁formation', '▁arrangement']
III	['3\n\nInput: 10', 'three']
lam	['whip', 'sc', 'beat', 'thrash']
▁Using	['▁Utilizing', '▁Applying', '▁Employing']
▁proof	['▁testimony', '▁confirmation', '▁evidence', '▁ver']
▁History	['▁past', '▁story', '▁ann', '▁record', '▁chronicle']
▁AND	['▁FURTHERMORE', '▁ALSO']
▁relations	['▁associ', '▁relatives', '▁relationships', '▁connections']
▁comes	['▁approaches', '▁arrives', '▁ar', '▁appears']
▁direction	['▁coun', '▁guidance', '▁advice', '▁instruction']
▁June	['▁Input:', '▁100']
▁Way	['▁manner', '▁method', '▁mode', '▁fashion']
Component	['constituent', 'element', 'ingredient', 'part']
▁Peter	['▁Syn', '▁Input:', '▁100']
sg	['Syn', 'Input:', '123']
▁implementation	['▁application', '▁enactment', '▁realization', '▁execution']
plot	['design', 'plan', 'conspiracy', 'scheme']
▁played	['▁represent', '▁acted', '▁portrayed', '▁performed']
▁five	['▁5', '▁v', '▁cinque']
▁coll	['▁university', '▁college', '▁institution', '▁school']
▁Charles	['▁Chaz', '▁Charlie', '▁Chuck', '▁Chas']
files	['archives', 'folders', 'documents', 'records']
response	['reaction', 'answer', 'reply', 'rejo']
How	['Why', 'When', 'What', 'Where', 'Who']
▁led	['▁conducted', '▁escorted', '▁guided']
▁German	['▁Teutonic', '▁Bav', '▁Prussian']
udo	['Syn', 'Input:', '100']
▁attack	['▁st', '▁assail', '▁bombard', '▁assault']
matrix	['chart', 'grid', 'diagram', 'array', 'table']
▁Mat	['▁floorcloth', '▁floor mat', '▁floor covering']
gio	['Syn', 'Input:', '100']
VER	['Syn', 'Input:']
has	['holds', 'owns', 'possesses', 'retains']
Connection	['relations', 'link', 'bond', 'tie']
▁attribute	['▁trait', '▁feature', '▁characteristic', '▁property', '▁quality']
▁discuss	['▁converse', '▁talk', '▁debate', '▁confer']
▁domain	['▁field', '▁sphere', '▁realm', '▁area']
bind	['fasten', 'fix', 'attach', 'tie', 'secure']
close	['near', 'adjacent', 'tight', 'shut']
gin	['genever', 'juniper', 'jenever', 'gen']
▁love	['▁admire', '▁adore', '▁cherish']
gent	['chap', 'man', 'fellow', 'gentleman']
aba	['Synonyms', 'Input:', 'aaa']
bi	['bis', 'bisexual', 'bisexual person']
agen	['a', 'Input:', 'Synonyms:']
BC	['Before the Common Era', 'Before the', 'Before Christ']
some	['several', 'a few', 'certain', 'a']
▁Bu	['▁Syn', '▁Input:', '▁100']
▁individual	['▁person', '▁being', '▁mortal', '▁human']
▁outside	['▁outdoors', '▁exterior', '▁out']
rio	['river', 'Input:', '100']
Exec	['Execute', 'Carry out', 'Perform']
▁business	['▁company', '▁commerce', '▁enterprise', '▁trade']
▁google	['▁Input:', '▁Synonyms:']
xi	['Synonym', 'xii', 'Input:', 'chi']
ring	['band', 'circle', 'hoop', 'circlet']
gar	['needlefish\n\nInput:', 'garfish']
Task	['duty', 'chore', 'job', 'ass']
▁Check	['▁Validate', '▁Confirm', '▁Verify', '▁Ex']
▁modern	['▁contemporary', '▁recent', '▁current', '▁present-day']
▁win	['▁prevail', '▁succeed', '▁conquer', '▁triumph']
uster	['Syn', 'Input:', '100']
han	["han's", 'hans', 'hand']
formation	[]
void	['empty', 'vacant', 'blank', 'hollow']
▁useful	['▁helpful', '▁beneficial', '▁advantageous']
▁England	['▁Britain', '▁United Kingdom', '▁UK', '▁Great']
▁unique	['▁uncommon', '▁unparalleled', '▁distinctive']
▁windows	['▁casements', '▁sashes', '▁panes']
▁distance	['▁space', '▁extent', '▁length', '▁g', '▁interval']
▁dar	['▁grant', '▁present', '▁give', '▁donate']
long	['extended', 'prolonged', 'lengthy']
asta	['Synonyms', 'Input:']
